tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,sealevelpressure,conditions
30,22.3,26.2,31.3,22.3,26.6,19.2,66.9,0,0,0,1013.8,cloudy
30,21.7,25.9,31.3,21.7,26.4,19.3,68.6,0,0,0,1013.4,cloudy
31,22.5,26.3,32.4,22.5,27.2,20.1,69.4,0,0,0,1013.3,cloudy
30,21.2,25.7,31.9,21.2,26.3,19.7,71.1,0,0,0,1013.3,cloudy
30.4,22,25.9,31.8,22,26.5,19.6,69.2,0,0,0,1013.4,cloudy
30,21,25.7,30.4,21,25.9,18.3,65.4,0,0,0,1013.3,cloudy
29.4,21,25.3,30.8,21,25.7,18.6,67.6,0,0,0,1013.3,cloudy
29,19.8,24.1,28.4,19.8,24,14.9,58.9,0,0,0,1013,Clear
28,18,23.4,27.6,18,23.3,14,57.6,0,0,0,1013.2,Clear
29,19,23.9,29.1,19,23.9,15.2,59.2,0,0,0,1012.3,Clear
29,19,23.8,28.5,19,23.8,15.3,60.7,0,0,0,1011.2,Clear
30,19,24.2,30,19,24.3,14.8,58.1,0,0,0,1011.2,Clear
29.8,19.8,24.3,28.4,19.8,24,9.8,40.8,0,0,0,1012.9,Clear
27.3,18.8,22.6,26.7,18.8,22.6,8.9,42,0,0,0,1012.6,cloudy
29.7,18.8,23.8,28.3,18.8,23.5,9.3,41,0,0,0,1011.2,cloudy
30.1,19.5,24.5,28.5,19.5,24.1,8.4,36.8,0,0,0,1010.8,Clear
30,19.3,24.2,28.3,19.3,23.9,7.9,36.4,0,0,0,1011,Clear
30.3,19.4,24.5,28.6,19.4,24.1,7.7,35.2,0,0,0,1010.3,Clear
30.2,19.4,24.3,28.4,19.4,23.9,6,31.7,0,0,0,1009.9,Clear
29.7,18.5,23.7,28,18.5,23.3,4.9,30.2,0,0,0,1011.2,Clear
29.5,18,23.4,28,18,23.2,6.1,33.1,0,0,0,1011.5,Clear
29.6,18.1,23.6,28,18.1,23.3,7.5,36.5,0,0,0,1011.5,Clear
29.2,18,23.3,27.6,18,23,6,34.1,0,0,0,1011.5,Clear
29,18.1,23.3,27.5,18.1,23,6.9,35.8,0,0,0,1012.3,Clear
29.4,18.7,23.7,28.1,18.7,23.5,9.3,40.6,0,0,0,1011.8,Clear
29.9,19.2,24.2,28.5,19.2,24,9.8,40.8,0,0,0,1011.4,Clear
28,17.1,22,0,0,28.3,15.7,70.6,0,0,0,1014.1,Clear
27.9,16.7,21.7,0,0,28.2,15.3,69.7,0.1,0,0,1014.2,Clear
27.5,16.2,21.7,0,0,28,15.5,69.7,0,0,0,1014.2,Clear
27.2,16.2,21.3,0,0,28.2,15.4,71.4,0,0,0,1014,Clear
27.3,16.2,21.1,0,0,27.9,15.6,73.3,0.1,4.8,2,1014,Clear
27.5,16.5,21.6,0,0,28.4,15.8,72.2,0,0,0,1013.8,Clear
27,16.3,21.1,0,0,28.4,15.8,73.9,0.2,4.8,2,1013.6,Clear
27,16.5,21.1,0,0,28,15.5,72.9,1.9,4.8,2,1013.4,Clear
27.3,16.3,21.2,0,0,28,15.4,72.1,1.8,4.8,2,1013.1,Clear
27.3,16.9,21.5,0,0,28.9,16.4,75.1,0.3,4.8,2,1013.4,Clear
26.8,16.9,21.3,0,0,28.8,16.2,75,0.7,0,0,1013.8,Clear
26.7,16.5,21.1,0,0,28.7,15.4,72.4,0.5,0,0,1014.6,Clear
26.4,16.5,20.9,0,0,28.3,15,71.6,0,0,0,1014.8,Clear
26,15.7,20.3,0,0,27.7,14.9,73.3,0,0,0,1015.3,Clear
25.7,15.5,20,0,0,27.4,14.3,72.1,0.3,4.8,2,1015.9,Clear
29,19.4,24.3,29.8,19.4,24.5,18.2,70.9,0,0,0,1012.8,Clear
30,18.9,24.1,30.4,18.9,24.3,18,70.7,0,0,0,1011.2,Clear
30,20.1,25.1,30.4,20.1,25.3,18.7,69.6,0,0,0,1009.4,Clear
32,20.7,26,34.9,20.7,26.9,20.3,72,0,0,0,1009.5,Clear
31,22.4,26.4,33.7,22.4,27.4,20.8,72.8,0,0,0,1010.6,cloudy
32,22.1,27,35.8,22.1,28.5,21.5,73.1,0,0,0,1010.5,Clear
31,23.9,26.9,35.5,23.9,28.5,21.9,75.2,0,0,0,1010.5,cloudy
31,21.9,25.3,31.4,21.9,25.4,17.8,64.8,0,0,0,1012.1,cloudy
31,20,24.6,31.9,20,24.9,18.5,70.5,0,0,0,1012.5,cloudy
29,20,23.9,29.8,20,24,17.9,70.6,0,0,0,1013,cloudy
28,18.9,23.1,28.6,18.9,23.1,17.2,71.8,0,0,0,1013.8,Clear
29,18.7,23.1,29.5,18.7,23.2,17.6,73.2,0,0,0,1014.4,Clear
29,17.9,23.2,29.5,17.9,23.3,16.8,69.1,0,0,0,1014.2,Clear
29,19,23.3,29.5,19,23.4,17.1,70.2,0,0,0,1014,Clear
29,18.6,23.3,29.5,18.6,23.4,17.2,70.2,0,0,0,1013.5,Clear
29,19.2,23.8,29.1,19.2,23.9,17.4,69.7,0,0,0,1013.2,Clear
29,18,23.6,29.8,18,23.9,18.3,73.9,0,0,0,1014.1,cloudy
24,20.9,22.2,24,20.9,22.2,19.7,86.2,1.732,100,16.67,1014.1,rainy
23,20.8,21.7,23,20.8,21.7,20.1,90.4,31.051,100,25,1013.8,rainy
23,21.4,22.2,23,21.4,22.2,20.9,92.2,63.257,100,20.83,1011.2,rainy
26,20.6,23.1,26,20.6,23.1,21.3,89.8,0,0,0,1013.1,cloudy
28,19.8,23.2,31.3,19.8,23.6,20.7,86.5,0.005,100,4.17,1015.2,rainy
27,20.4,23,28.8,20.4,23.2,20.2,84.6,2.61,100,4.17,1017,rainy
27,19.9,23.1,28.2,19.9,23.2,19,78.7,0,0,0,1016.4,cloudy
28,19,23.2,29.7,19,23.6,19.3,80.3,0,0,0,1016.5,cloudy
25,18.3,21.5,25,18.3,21.5,16.5,74.5,0,0,0,1017.5,Clear
26,16.1,20.8,26,16.1,20.8,14.5,69.4,0,0,0,1016.2,Clear
26,15.6,20.4,26,15.6,20.4,14.5,71,0,0,0,1015,cloudy
26,15.3,20,26,15.3,20,13.9,70.1,0,0,0,1014.7,cloudy
25,15,19.5,25,15,19.5,15.1,77.4,0,0,0,1015.4,cloudy
25,15.2,19.8,25,15.2,19.8,13.7,70.8,0,0,0,1015.1,Clear
25,14.5,19.9,25,14.5,19.9,15.7,77.9,0,0,0,1014.6,Clear
22,15,18.4,22,15,18.4,11.8,66.9,0,0,0,1016.2,Clear
22,12,17,22,12,17,8.4,58.2,0,0,0,1016.1,Clear
23,12.8,17.6,23,12.8,17.6,12.2,71.8,0,0,0,1014.4,Clear
24,14.4,19,24,14.4,19,13.7,73.5,0,0,0,1012.9,Clear
24,14,18.9,24,14,18.9,14.7,77.5,0,0,0,1013.2,Clear
25,14.5,19.6,25,14.5,19.6,15.3,78,0,0,0,1013.6,Clear
26,15.3,20.2,26,15.3,20.2,15.8,77.9,0,0,0,1014.2,Clear
26,16.4,21,26,16.4,21,17.5,82,0,0,0,1015.9,cloudy
26,16,21.3,26,16,21.3,18.2,83.5,0,0,0,1017,cloudy
26,17.8,21.1,26,17.8,21.1,17.3,79.9,0,0,0,1016.4,cloudy
25,18,20.7,25,18,20.7,17.2,81.4,0,0,0,1016.5,cloudy
23,17,19.4,23,17,19.4,17.4,88.3,0.988,100,4.17,1018.9,rainy
24,15,19.7,24,15,19.7,16.4,82.2,0,0,0,1019.4,Clear
